,nose_x,nose_y,nose_z,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_x,left_eye_y,left_eye_z,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_x,right_eye_y,right_eye_z,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,left_ear_x,left_ear_y,left_ear_z,right_ear_x,right_ear_y,right_ear_z,mouth_left_x,mouth_left_y,mouth_left_z,mouth_right_x,mouth_right_y,mouth_right_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_pinky_x,left_pinky_z,left_pinky_y,right_pinky_x,right_pinky_y,right_pinky_z,left_index_x,left_index_y,left_index_z,right_index_x,right_index_y,right_index_z,left_thumb_x,left_thumb_y,left_thumb_z,right_thumb_x,right_thumb_y,right_thumb_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z,left_heel_x,left_heel_y,left_heel_z,right_heel_x,right_heel_y,right_heel_z,left_foot_index_x,left_foot_index_y,left_foot_index_z,right_foot_index_x,right_foot_index_y,right_foot_index_z
0,0.14507169,-0.565323,-0.025291517,0.17226964,-0.5930617,0.018088907,0.18569379,-0.5901745,0.01782981,0.19728504,-0.5871926,0.01748121,0.12076805,-0.5960871,0.016890919,0.10357815,-0.5954574,0.016737854,0.087045066,-0.5949059,0.016351173,0.21202116,-0.5632509,0.24326423,0.066282764,-0.5761902,0.2511131,0.16966236,-0.51737386,0.063065924,0.11293122,-0.5266088,0.06489617,0.2620991,-0.3388875,0.42038983,-0.038608555,-0.42926103,0.24091704,0.20825651,-0.06391588,0.24180429,-0.22753967,-0.40458244,-0.119197756,0.2665431,-0.06580153,-0.16505642,-0.03273072,-0.5490785,-0.5442361,0.28104013,-0.06265457,-0.20973231,0.005634362,-0.59423953,-0.6057274,0.2913487,-0.09589768,-0.18344653,0.024435285,-0.6021614,-0.56129783,0.27342254,-0.09839617,-0.16294833,0.020194491,-0.58624554,-0.53379935,0.074989624,0.018419582,0.09970253,-0.074989624,-0.018419668,-0.09970253,0.12994878,0.30592042,-0.21847454,0.056484085,0.2674328,-0.4974859,0.060487222,0.6329022,-0.28619078,-0.07558499,0.6116789,-0.41398397,0.033204008,0.67562616,-0.30210677,-0.11476562,0.65036696,-0.4028154,0.0740699,0.7581104,-0.5666916,-0.07794231,0.7500365,-0.6062244
1,0.023975153,-0.58570313,-0.5609518,0.043852948,-0.6181904,-0.53825825,0.057297625,-0.6195547,-0.53801125,0.069390185,-0.61981815,-0.5382639,0.0049157767,-0.6110056,-0.50587946,-0.007364847,-0.6082179,-0.5057871,-0.017431153,-0.6052116,-0.5061588,0.09050663,-0.5992739,-0.3670199,-0.0231844,-0.58360183,-0.2055141,0.05558411,-0.5520824,-0.50271094,0.005259835,-0.5486171,-0.45831373,0.20768,-0.3748902,-0.314142,-0.10423902,-0.41839415,-0.09739611,0.2507811,-0.099003546,-0.2931583,-0.30799598,-0.4190418,-0.46543235,0.27944294,0.08613843,-0.21571787,-0.15222104,-0.55268615,-0.8340017,0.29857767,0.16091415,-0.24774523,-0.13262394,-0.6046658,-0.932121,0.25869045,0.16154219,-0.2651019,-0.11167326,-0.6032529,-0.8273168,0.24496384,0.13484147,-0.22732149,-0.105831385,-0.58078873,-0.81607354,0.09328954,0.009056888,-0.066863,-0.09328954,-0.009056941,0.066863,0.06919161,0.3777019,0.17161743,-0.12658449,0.34747234,0.24523288,0.0338205,0.65453196,0.79838175,-0.15734892,0.6234926,0.702996,0.03609922,0.700442,0.8388349,-0.16531508,0.6662708,0.74243873,-0.0117036,0.75441486,0.45138618,-0.13713409,0.7384699,0.326455
2,0.007735428,-0.56395257,-1.3009876,0.028185818,-0.5938421,-1.2458577,0.038426373,-0.5912152,-1.2454578,0.04848179,-0.58813953,-1.2454281,-0.0038280645,-0.596277,-1.2392209,-0.015530353,-0.5951317,-1.2395947,-0.027421892,-0.5936158,-1.2396245,0.07093986,-0.5665253,-0.90052813,-0.04254053,-0.5733336,-0.8828026,0.030867826,-0.527517,-1.1762853,-0.010275434,-0.5284606,-1.1720774,0.16771802,-0.37284127,-0.7001189,-0.13241288,-0.42637926,-0.66827786,0.2057628,-0.16649638,-0.7292811,-0.3430286,-0.46204048,-1.1486387,0.17902887,0.012421319,-0.8643695,-0.18502179,-0.57839787,-1.5908766,0.17461833,0.069477014,-0.94052947,-0.14914644,-0.61210066,-1.7307208,0.15756331,0.065396026,-1.003712,-0.12657744,-0.60363984,-1.6520133,0.15346651,0.04422734,-0.8917837,-0.12827614,-0.588307,-1.5832049,0.07707293,0.0036363467,0.0065175532,-0.077072956,-0.0036363467,-0.0065175532,0.060868353,0.30935624,0.110244736,-0.06797143,0.3004387,0.021627905,0.027253559,0.59398264,0.5524592,-0.072244115,0.5837166,0.47958234,0.009076004,0.6375417,0.57200336,-0.058050442,0.6299087,0.5034813,0.09206819,0.69103676,0.19037306,-0.13443421,0.6688383,0.12011846
3,-0.002530161,-0.54733694,-0.5282371,0.014692955,-0.5732069,-0.49046278,0.025255851,-0.5728367,-0.4903654,0.03490314,-0.57151806,-0.49046278,-0.021277888,-0.57183594,-0.47754467,-0.034467384,-0.5706215,-0.47744423,-0.046192903,-0.56877965,-0.477468,0.054822676,-0.55410284,-0.2905149,-0.056594867,-0.5531785,-0.22862573,0.01994746,-0.51550055,-0.4559798,-0.022089092,-0.51326984,-0.43873054,0.14540572,-0.38047647,-0.2994946,-0.12385562,-0.41923323,-0.094466425,0.17268619,-0.15833122,-0.3337878,-0.29541016,-0.47049695,-0.32714498,0.14965974,0.009274094,-0.3310728,-0.12371113,-0.5695377,-0.44063196,0.1438644,0.06987784,-0.3747007,-0.09298961,-0.57955647,-0.5067963,0.116290644,0.06308282,-0.40688404,-0.077715605,-0.5693738,-0.43999103,0.10959764,0.047015715,-0.34120423,-0.084632516,-0.5614401,-0.43176395,0.068711825,-0.0012021249,-0.06668044,-0.068711795,0.0012020705,0.06668044,0.08880096,0.27592102,0.026193298,-0.065224506,0.26870883,0.20706828,0.11788499,0.45682877,0.41758314,-0.037035175,0.45481637,0.57278246,0.12230219,0.46688548,0.4397329,-0.01757676,0.46790996,0.5986978,0.09184154,0.54773176,0.18041903,-0.098749734,0.5702218,0.38626316
4,-0.038889904,-0.5765347,-1.1229239,-0.011339877,-0.619615,-1.0866127,0.003954961,-0.6173039,-1.086206,0.019490143,-0.6142958,-1.0865092,-0.056242026,-0.62034994,-1.0796134,-0.072697684,-0.61754847,-1.0800422,-0.08856501,-0.6138463,-1.0802342,0.045217473,-0.5948895,-0.7993517,-0.11252879,-0.58556765,-0.78598386,-0.0011211102,-0.5234794,-1.0110207,-0.07160803,-0.52811694,-1.0095322,0.13075152,-0.3803811,-0.7223604,-0.20133352,-0.4164992,-0.5462901,0.17596337,-0.097890966,-0.6887527,-0.45401803,-0.42547336,-0.9399505,0.17299041,0.19414273,-0.59206295,-0.26158735,-0.5912431,-1.1892654,0.19868228,0.29920498,-0.6213922,-0.22220008,-0.6388868,-1.2410333,0.16042437,0.31688768,-0.6368198,-0.20284398,-0.6345624,-1.1449388,0.121346235,0.2124491,-0.59067535,-0.19984773,-0.6144994,-1.1550901,0.08398087,-0.010239396,-0.057455927,-0.08398087,0.010239396,0.057455927,0.072587766,-0.076649256,-0.83070856,-0.12279132,0.12502916,-0.7357974,0.08789987,0.31463146,-0.25899535,-0.07257223,0.3852849,-0.17728908,0.08986974,0.35905802,-0.19704749,-0.055387713,0.39509553,-0.11416721,0.110118486,0.49061552,-0.34583056,-0.06959148,0.57298326,-0.28337696
5,-0.004164003,-0.5432813,-1.1980975,0.01058748,-0.57174796,-1.1488392,0.020007387,-0.5708029,-1.148599,0.029843198,-0.56932503,-1.1486514,-0.017116867,-0.57067925,-1.1553829,-0.028684953,-0.56907475,-1.1557215,-0.041962475,-0.56745666,-1.1559432,0.048157204,-0.5501311,-0.79002833,-0.06732196,-0.550864,-0.8278609,0.014223079,-0.5106461,-1.0584365,-0.022017587,-0.50683635,-1.0710382,0.14766939,-0.39045793,-0.5545381,-0.16215636,-0.4094109,-0.60578763,0.22654669,-0.18664049,-0.45166343,-0.3160568,-0.42926377,-1.0171237,0.21925396,-0.010886752,-0.5394448,-0.21681915,-0.54514164,-1.4653304,0.21774337,0.053725652,-0.5835519,-0.17107807,-0.56494087,-1.5808092,0.19794285,0.05360479,-0.6457192,-0.14554203,-0.56468505,-1.5317615,0.19010709,0.036159273,-0.5603245,-0.14764737,-0.5550629,-1.4590331,0.081974894,0.0001867751,-0.0061382083,-0.081974894,-0.0001867751,0.0061382083,0.09768054,0.30954954,-0.022784155,-0.0704045,0.30843112,-0.027891891,0.07774829,0.578546,0.5769688,-0.021446059,0.5794375,0.52244467,0.07724143,0.6037378,0.6173359,-0.010100038,0.5966721,0.5624596,0.076042704,0.6839902,0.26013005,-0.033889703,0.6808056,0.19911905
6,0.038023967,-0.56689924,-0.7459704,0.05643284,-0.59117466,-0.692468,0.06786664,-0.5904297,-0.6924486,0.0798244,-0.58904624,-0.69246346,0.022001484,-0.5899168,-0.69636756,0.009666368,-0.58824235,-0.6964933,-0.0024620742,-0.5860311,-0.69665897,0.09614479,-0.56869817,-0.3787548,-0.0158104,-0.5636386,-0.39853182,0.05798556,-0.5331784,-0.629491,0.020331582,-0.53456473,-0.63592756,0.17525345,-0.38027728,-0.17319776,-0.094130464,-0.415599,-0.2671463,0.21310739,-0.18198983,-0.08237825,-0.27109072,-0.41567537,-0.6308502,0.1895901,0.0075083296,-0.20745362,-0.13419682,-0.5594155,-1.0306183,0.18493952,0.06453847,-0.24763094,-0.09973362,-0.6093023,-1.1295167,0.17990045,0.06706858,-0.3003353,-0.080181986,-0.6034582,-1.0923798,0.16674607,0.044900976,-0.23091182,-0.079860136,-0.5783961,-1.0286803,0.073528424,0.0040795896,0.039643776,-0.0735284,-0.0040795896,-0.039643776,0.068254836,0.30301788,-0.029890008,-0.050156005,0.3005177,-0.06254728,0.04110425,0.61184067,0.30240822,-0.057064593,0.5967574,0.28464678,0.025494536,0.64325583,0.31488377,-0.06465088,0.6223556,0.30283627,0.06051115,0.71404153,-0.06374125,-0.05006531,0.6889554,-0.06426265
7,-0.007003751,-0.5438279,-0.65774435,0.013613265,-0.57666576,-0.6151641,0.023532305,-0.5764707,-0.6152695,0.032315128,-0.5753566,-0.6154983,-0.017088016,-0.57135665,-0.5925587,-0.027518995,-0.56825143,-0.5926444,-0.037740923,-0.564611,-0.5928521,0.052856456,-0.55897075,-0.34708518,-0.04482883,-0.5489543,-0.24197128,0.017693957,-0.51676166,-0.5575113,-0.019122433,-0.51382256,-0.5289296,0.15391384,-0.39095977,-0.28733358,-0.116626374,-0.40817076,-0.038143724,0.18065336,-0.17298272,-0.27962577,-0.28433394,-0.44154307,-0.37428835,0.1481152,0.008683787,-0.29592943,-0.14968106,-0.5604771,-0.70422405,0.14400616,0.07267962,-0.34740317,-0.115871266,-0.56860965,-0.8007133,0.12677693,0.06887155,-0.39667544,-0.09959164,-0.58133423,-0.7465075,0.11935963,0.05066909,-0.31263077,-0.1069825,-0.5631067,-0.7015314,0.07335182,0.011163953,-0.11133195,-0.07335181,-0.011163953,0.11133195,0.038642205,0.33048433,-0.15570812,-0.080505446,0.30840003,0.15253274,0.033026107,0.5993578,0.31251782,-0.048524227,0.57175887,0.6051899,0.03522351,0.6307535,0.3409766,-0.037393942,0.6194487,0.63663816,0.022450212,0.68863356,0.002197681,-0.09765489,0.67455995,0.32479414
8,-0.018077768,-0.55266297,-0.80127937,0.009701223,-0.5758994,-0.7627229,0.024070797,-0.5745775,-0.7626199,0.03723544,-0.57264805,-0.7626847,-0.025083942,-0.57673836,-0.7448075,-0.033939566,-0.57631755,-0.744935,-0.042466316,-0.5753587,-0.74514633,0.06787348,-0.552214,-0.49430838,-0.038392916,-0.5587677,-0.41343656,0.0133777065,-0.51266426,-0.69950795,-0.030910717,-0.5198746,-0.67787784,0.16658778,-0.38757998,-0.40208426,-0.12393233,-0.41128203,-0.18177187,0.19606355,-0.17187616,-0.31834525,-0.30555293,-0.42267436,-0.5507138,0.16059554,0.007734784,-0.30161804,-0.18233219,-0.5689126,-0.972954,0.16887479,0.075197466,-0.34131494,-0.14567213,-0.60180956,-1.0849663,0.14602286,0.074308276,-0.40646303,-0.12522106,-0.59568954,-1.0274618,0.13547818,0.056236554,-0.3218509,-0.12600562,-0.57676065,-0.9694289,0.07915308,-0.0005139943,-0.10631729,-0.07915308,0.0005140804,0.10631729,0.03845197,0.3040781,-0.062300302,-0.078615725,0.2841775,0.22979322,-0.00026964693,0.55354905,0.45197773,-0.06580771,0.5293784,0.72004855,0.011889916,0.5965401,0.48373574,-0.045925647,0.58301705,0.755154,-0.04022552,0.6537865,0.17855537,-0.16539742,0.6011785,0.48673046
9,0.008918098,-0.5488561,-0.58791095,0.029561428,-0.58071935,-0.5533435,0.040262043,-0.5808883,-0.5533672,0.048412863,-0.58050656,-0.5537348,-0.009615384,-0.57914704,-0.54399127,-0.022809573,-0.57891065,-0.5441444,-0.03319941,-0.57848525,-0.5443316,0.065201424,-0.565606,-0.32186168,-0.0457991,-0.5661297,-0.27827102,0.02921431,-0.51627153,-0.5001548,-0.014443938,-0.5164838,-0.4891753,0.16072106,-0.38392597,-0.2046839,-0.13345683,-0.41560927,-0.15135245,0.20425355,-0.147703,-0.092375785,-0.32250383,-0.46836653,-0.4916617,0.19425215,0.051235117,-0.049278807,-0.18999058,-0.58939564,-0.725683,0.19818804,0.111546524,-0.071024224,-0.14517002,-0.6285218,-0.7958065,0.17881905,0.11314308,-0.104638815,-0.12564588,-0.6212654,-0.7000708,0.16995442,0.09289927,-0.05947352,-0.1282709,-0.6007437,-0.70170736,0.08379664,0.0011255634,0.007660885,-0.08379669,-0.0011254736,-0.007660885,0.095856875,0.32265776,-0.02803201,-0.06679266,0.31453216,-0.008290885,0.09598721,0.54426706,0.5860926,-0.07733776,0.54650795,0.5656386,0.08917398,0.5740864,0.6395887,-0.070271984,0.5741861,0.6225498,0.115165666,0.65193784,0.42084855,-0.076147296,0.64899486,0.38914332
