,nose_x,nose_y,nose_z,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_x,left_eye_y,left_eye_z,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_x,right_eye_y,right_eye_z,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,left_ear_x,left_ear_y,left_ear_z,right_ear_x,right_ear_y,right_ear_z,mouth_left_x,mouth_left_y,mouth_left_z,mouth_right_x,mouth_right_y,mouth_right_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_pinky_x,left_pinky_z,left_pinky_y,right_pinky_x,right_pinky_y,right_pinky_z,left_index_x,left_index_y,left_index_z,right_index_x,right_index_y,right_index_z,left_thumb_x,left_thumb_y,left_thumb_z,right_thumb_x,right_thumb_y,right_thumb_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z,left_heel_x,left_heel_y,left_heel_z,right_heel_x,right_heel_y,right_heel_z,left_foot_index_x,left_foot_index_y,left_foot_index_z,right_foot_index_x,right_foot_index_y,right_foot_index_z
0,0.009030308,-0.546718,-0.6698097,0.027139978,-0.5712307,-0.6332268,0.035909325,-0.57152474,-0.6333857,0.045220934,-0.57110864,-0.6333767,-0.0071389005,-0.5707694,-0.63194287,-0.018820738,-0.5704666,-0.6319206,-0.029263077,-0.5695609,-0.63207513,0.05988649,-0.5617156,-0.38351563,-0.041434977,-0.56106913,-0.3782608,0.030033646,-0.51660407,-0.5732143,-0.009047851,-0.51409996,-0.5716324,0.14386488,-0.39791954,-0.22732756,-0.122297525,-0.40178972,-0.19728385,0.1684859,-0.19166031,-0.110558055,-0.16000168,-0.19735834,-0.12377511,0.17832953,-0.015928589,-0.35312074,-0.18097322,-0.010143909,-0.37620583,0.17545341,0.042828187,-0.4314904,-0.18198939,0.046702623,-0.44951832,0.1570333,0.042633276,-0.5110916,-0.15944304,0.045105536,-0.5456001,0.15099797,0.026722576,-0.388275,-0.15434101,0.029156573,-0.4196003,0.073494315,0.0019563835,-0.022954494,-0.07349433,-0.0019563835,0.022954494,0.06639051,0.28216618,0.029844651,-0.06307539,0.27351975,0.13476343,0.06634266,0.50068504,0.46570632,-0.065956734,0.5059686,0.58260137,0.05414194,0.5222678,0.4877191,-0.051688362,0.52933055,0.6113145,0.09078473,0.6024062,0.19850451,-0.10857354,0.60165614,0.33744404
1,0.023993125,-0.56612,-0.5291083,0.037158918,-0.60080093,-0.5029296,0.04748845,-0.6005762,-0.5030606,0.058254946,-0.5991293,-0.5032026,0.006750173,-0.59707737,-0.5081313,-0.0041528903,-0.59455407,-0.50833637,-0.014559523,-0.591696,-0.5087249,0.07862561,-0.5834413,-0.32135108,-0.0354677,-0.5766739,-0.34053886,0.042759035,-0.5349912,-0.45828143,0.010971396,-0.5320226,-0.4645092,0.17204438,-0.39326456,-0.192625,-0.117358886,-0.40486425,-0.2580937,0.22171293,-0.18341373,-0.06933993,-0.19653817,-0.24005462,-0.23092866,0.21398655,0.011390539,-0.11313195,-0.19668034,-0.093985625,-0.367609,0.21365075,0.07581188,-0.13058475,-0.20751344,-0.036344137,-0.38880104,0.18387718,0.06771955,-0.17148298,-0.18504082,-0.043958623,-0.43700475,0.17616335,0.043779746,-0.12547033,-0.17519504,-0.060609993,-0.38429877,0.08042927,-0.0014600004,0.0113865705,-0.08042927,0.0014599523,-0.0113865705,0.0838561,0.30171463,-0.13036951,-0.11616116,0.28078058,-0.100813605,0.0787169,0.54794973,0.21776462,-0.10037684,0.5326081,0.23548517,0.07081787,0.5713114,0.23569906,-0.08755915,0.5574352,0.25884145,0.079182595,0.59898037,-0.000741138,-0.116113864,0.6548416,0.035817776
2,0.004432021,-0.5903368,-1.223257,0.021422643,-0.61964554,-1.1691673,0.031404946,-0.61967987,-1.169298,0.040802643,-0.6194467,-1.1694039,-0.014989759,-0.61743486,-1.1762311,-0.027332183,-0.61590356,-1.1764811,-0.038636874,-0.6138784,-1.1767558,0.050525427,-0.6059416,-0.81858563,-0.052488305,-0.5987543,-0.85249853,0.024666931,-0.5605984,-1.0900983,-0.014846676,-0.5582164,-1.1000692,0.13899969,-0.39300516,-0.5272748,-0.14090873,-0.40699255,-0.62526435,0.16746189,-0.17514169,-0.36579183,-0.1820061,-0.18404236,-0.52210873,0.16576888,0.026547069,-0.61791205,-0.17337155,0.035088237,-0.75905913,0.15937217,0.08766258,-0.7057294,-0.1655224,0.09318795,-0.8389192,0.1443024,0.083061226,-0.7880654,-0.14955336,0.09121274,-0.93402123,0.14001878,0.06337715,-0.65445274,-0.14710437,0.07305939,-0.7984891,0.07668171,0.003222103,0.023010379,-0.0766817,-0.003222103,-0.023010379,0.06602157,0.33269206,0.01745804,-0.060311925,0.333419,0.032045655,0.038467966,0.5862768,0.6165806,-0.033044375,0.5871101,0.59960854,0.017639132,0.6297195,0.65415186,-0.027562749,0.62758297,0.63687253,0.072800994,0.66683054,0.31212655,-0.06208415,0.66017973,0.2608768
3,0.0058009,-0.55438936,-0.77718216,0.013114546,-0.5844795,-0.73442614,0.021871999,-0.58479744,-0.73453665,0.030981245,-0.58504313,-0.73460615,-0.015890175,-0.5831567,-0.7510927,-0.029349841,-0.5816875,-0.75116473,-0.042780053,-0.57957214,-0.7513359,0.032000516,-0.5721644,-0.43058056,-0.07396921,-0.56211483,-0.51099426,0.018247789,-0.52342784,-0.657227,-0.014364594,-0.521616,-0.68013513,0.117022365,-0.40898153,-0.17757109,-0.16317743,-0.38968605,-0.34410486,0.1573098,-0.21163522,0.013789246,-0.20766513,-0.19035132,-0.2617236,0.16109534,-0.027600845,-0.23010078,-0.18393026,-0.009094986,-0.4483412,0.17050754,0.030573394,-0.30683625,-0.1783598,0.04708676,-0.51708275,0.14925946,0.026856419,-0.39176157,-0.15286872,0.039866988,-0.6062722,0.1391128,0.011070307,-0.26677468,-0.14940004,0.022791076,-0.48357156,0.07166609,-0.0026916305,0.07315,-0.07166609,0.0026915413,-0.07315,0.0536851,0.30233115,0.04496186,-0.081147216,0.29723647,-0.07289798,0.033402123,0.56890225,0.4601618,-0.05433042,0.5634817,0.3396401,0.014771421,0.6059848,0.47999346,-0.046366267,0.5985152,0.36168757,0.119372435,0.6727422,0.17645293,-0.06005028,0.67691565,0.02256181
4,0.1513833,-0.40260768,-2.43436,0.1571508,-0.44321656,-2.3913245,0.16541158,-0.4456378,-2.3917642,0.18198803,-0.4451235,-2.3927186,0.11746646,-0.43579757,-2.4008024,0.103513956,-0.4351132,-2.4010708,0.1256131,-0.45426497,-2.4012976,0.2640178,-0.40455213,-1.9867942,0.056349296,-0.42165762,-2.0154026,0.17236334,-0.37681383,-2.2659142,0.14851353,-0.36352822,-2.2745724,0.34339026,-0.1922407,-1.4565754,-0.031466044,-0.30173945,-1.6763613,0.3898271,0.11491818,-1.4580119,-0.1128172,0.0687195,-1.7673954,0.40657854,0.4268843,-1.6250775,-0.13148694,0.4770322,-1.9108682,0.42648828,0.51391244,-1.7145035,-0.14128247,0.56445986,-2.0449884,0.39772174,0.5121142,-1.8328683,-0.09312739,0.5765587,-2.0936222,0.38272697,0.48265025,-1.6756396,-0.08662211,0.55072397,-1.9345889,0.10170396,0.039321914,0.03936464,-0.101703964,-0.03932197,-0.03936464,0.24798912,0.41454345,-0.5959465,-0.081217006,-0.026105255,-0.85482407,0.25600415,0.77357787,-0.20108326,-0.17848176,0.33425388,-0.19815929,0.22752193,0.804576,-0.1745533,-0.18808234,0.3809133,-0.13331671,0.32868606,0.94443923,-0.5810119,-0.21693256,0.45456496,-0.43706104
5,-0.008448879,-0.56964743,-0.38735366,0.0076900288,-0.5970988,-0.3462228,0.01809998,-0.5962384,-0.3464014,0.027865397,-0.5955933,-0.34648895,-0.026253045,-0.59653306,-0.34083122,-0.037844542,-0.5950002,-0.340832,-0.048933387,-0.59303576,-0.34092093,0.044525564,-0.57754856,-0.12165405,-0.06336693,-0.57040393,-0.09520149,0.013613711,-0.5382311,-0.3030806,-0.028029304,-0.5365504,-0.29549325,0.13709188,-0.40563244,-0.043784328,-0.14480454,-0.39433044,0.04611426,0.18622436,-0.2181077,-0.012830962,-0.17348151,-0.19168097,0.13403465,0.18759017,-0.03786474,-0.28769565,-0.17969057,-0.009062161,-0.0859062,0.1852845,0.019480206,-0.3719868,-0.19105814,0.04513578,-0.15685704,0.16394913,0.012433533,-0.44944337,-0.1663996,0.048691448,-0.23780058,0.15807056,-0.0033019094,-0.3215368,-0.15757516,0.030117732,-0.12293929,0.07585669,-0.0025831095,-0.0331909,-0.07585667,0.0025831095,0.0331909,0.07183868,0.3215073,-0.1179576,-0.07602176,0.32323375,-0.04004919,0.042227942,0.58219033,0.23656173,-0.058919277,0.59445816,0.2800213,0.030502053,0.62116605,0.25077826,-0.044685498,0.6333672,0.29204562,0.05826601,0.6910623,-0.04965222,-0.11577233,0.6894223,-0.0057995524
6,0.007127072,-0.55967784,-0.9446656,0.02077356,-0.5874718,-0.91071916,0.030900475,-0.5868087,-0.9106597,0.041754942,-0.5854907,-0.9105942,-0.0116017265,-0.5866783,-0.9166795,-0.024597675,-0.58496475,-0.91681224,-0.03621242,-0.5823168,-0.9169289,0.0554188,-0.56927246,-0.63748825,-0.056079246,-0.5647827,-0.67628604,0.025082136,-0.528748,-0.83829886,-0.013574689,-0.5267618,-0.848774,0.13370292,-0.40015924,-0.4121415,-0.14597015,-0.39974672,-0.4913602,0.17556344,-0.19183749,-0.24387684,-0.1994582,-0.19683494,-0.42217484,0.17046344,-0.0020611645,-0.43139625,-0.17077018,-0.0021849084,-0.59618926,0.17966406,0.055833902,-0.49918175,-0.17107196,0.057179775,-0.6581608,0.16048662,0.056790963,-0.58206123,-0.1499827,0.05382279,-0.73630136,0.15063679,0.04116979,-0.4646716,-0.14496535,0.036617596,-0.6275955,0.0755283,0.0013939906,0.04429981,-0.0755283,-0.0013939906,-0.04429981,0.06755617,0.27063406,0.120359644,-0.077992894,0.26307338,0.009803112,0.034696367,0.52453256,0.45641014,-0.08084762,0.531488,0.3829219,0.008850991,0.55570686,0.46982187,-0.0720797,0.5642523,0.40030983,0.1174579,0.6134106,0.20358229,-0.102966405,0.62270033,0.09952143
7,-0.0027114651,-0.56995076,-0.82304,0.015406165,-0.6010767,-0.78804076,0.024987418,-0.60050076,-0.7881437,0.03485506,-0.5998317,-0.78805816,-0.017794926,-0.6006366,-0.7798498,-0.02927724,-0.5994274,-0.7799541,-0.039267093,-0.59797823,-0.7801552,0.05185214,-0.5860439,-0.5468042,-0.049976297,-0.5830337,-0.50686425,0.017424209,-0.5393894,-0.73022014,-0.018835532,-0.5360597,-0.71873033,0.14314257,-0.4002695,-0.42947403,-0.12960728,-0.39961594,-0.3071358,0.1588614,-0.18961407,-0.3783055,-0.15980466,-0.20139198,-0.20499043,0.14691572,-0.010915553,-0.6279262,-0.14870308,-0.013392581,-0.42840868,0.15073213,0.048512988,-0.71868426,-0.15016511,0.044990133,-0.49914485,0.13077874,0.04008376,-0.78571767,-0.13602377,0.04097957,-0.58861065,0.122096345,0.020968648,-0.6576343,-0.12927887,0.021375326,-0.46837318,0.06435641,0.0017377287,-0.07570012,-0.06435642,-0.0017377287,0.07570012,0.07119652,0.2482813,-0.04076656,-0.051146753,0.2523848,0.09489052,0.073549226,0.47695413,0.37511015,-0.012193208,0.49239337,0.49768707,0.08548254,0.5039506,0.39473516,0.0032956738,0.5292633,0.52171314,0.058048528,0.5723221,0.122284845,-0.065033995,0.5888716,0.26337188
8,-0.0027114651,-0.56995076,-0.82304,0.015406165,-0.6010767,-0.78804076,0.024987418,-0.60050076,-0.7881437,0.03485506,-0.5998317,-0.78805816,-0.017794926,-0.6006366,-0.7798498,-0.02927724,-0.5994274,-0.7799541,-0.039267093,-0.59797823,-0.7801552,0.05185214,-0.5860439,-0.5468042,-0.049976297,-0.5830337,-0.50686425,0.017424209,-0.5393894,-0.73022014,-0.018835532,-0.5360597,-0.71873033,0.14314257,-0.4002695,-0.42947403,-0.12960728,-0.39961594,-0.3071358,0.1588614,-0.18961407,-0.3783055,-0.15980466,-0.20139198,-0.20499043,0.14691572,-0.010915553,-0.6279262,-0.14870308,-0.013392581,-0.42840868,0.15073213,0.048512988,-0.71868426,-0.15016511,0.044990133,-0.49914485,0.13077874,0.04008376,-0.78571767,-0.13602377,0.04097957,-0.58861065,0.122096345,0.020968648,-0.6576343,-0.12927887,0.021375326,-0.46837318,0.06435641,0.0017377287,-0.07570012,-0.06435642,-0.0017377287,0.07570012,0.07119652,0.2482813,-0.04076656,-0.051146753,0.2523848,0.09489052,0.073549226,0.47695413,0.37511015,-0.012193208,0.49239337,0.49768707,0.08548254,0.5039506,0.39473516,0.0032956738,0.5292633,0.52171314,0.058048528,0.5723221,0.122284845,-0.065033995,0.5888716,0.26337188
9,0.02970885,-0.54688436,-0.7931186,0.041281175,-0.5909642,-0.7446216,0.049927138,-0.5911963,-0.7447703,0.060804896,-0.5897569,-0.7448371,0.012579935,-0.5876409,-0.77460456,0.0002117175,-0.5855805,-0.77481896,-0.0116951065,-0.5828713,-0.7752617,0.07003401,-0.57960624,-0.4412805,-0.037797555,-0.56820863,-0.56887525,0.045218043,-0.5156055,-0.6737325,0.008833563,-0.5150938,-0.71117896,0.14991072,-0.39842132,-0.14702983,-0.13983306,-0.40151522,-0.47875476,0.17512594,-0.19496632,-0.0362135,-0.18153872,-0.17847878,-0.4392321,0.18038844,-0.009283465,-0.32668972,-0.16116841,0.0042875977,-0.6357991,0.17952023,0.047477655,-0.4053959,-0.16462758,0.06867015,-0.7232192,0.1638497,0.042837057,-0.48082614,-0.1312949,0.058519226,-0.7947293,0.14841658,0.030580113,-0.36551416,-0.12682717,0.034906704,-0.66306454,0.07516862,0.002871449,0.096822776,-0.07516862,-0.002871449,-0.096822776,0.08999014,0.28842866,0.024168165,-0.063084826,0.30102357,-0.17569819,0.050530635,0.55627936,0.46641997,-0.05472092,0.54968137,0.23971377,0.034003027,0.558003,0.48764497,-0.077892035,0.55248547,0.26215187,0.07144811,0.58296806,0.15368521,-0.021512887,0.58107233,-0.11578476
